name,prompt,negative_prompt
[ Quality ],,
DSLR Photo [Sharp & Shallow DOF],"The photo has the technical qualities of a digital SLR photograph shot with a large-aperture lens: a shallow depth of field with the subject in sharp focus and the background dissolving into smooth natural bokeh, accurate true-to-life color, high dynamic range holding detail in both highlights and shadows, fine resolved texture with no digital noise, and clean full-frame sensor clarity.","a low-resolution photograph with flat compressed dynamic range, visible digital noise, and deep depth of field showing the background in sharp focus"
High-Quality Photo [Clean & Detailed],"The photo has the technical qualities of a high-quality photograph: crisp fine detail resolved across the frame, accurate natural color with a full range of tones from deep shadows to bright highlights, no visible noise, blur, or compression artifacts, clean accurate optical rendering, and an overall crisp, high-fidelity clarity.","a low-quality photograph with noise, compression artifacts, flat washed-out color, and soft blurry detail"
Digital Photo [Clean & Processed],"The photo has the technical qualities of a high-quality digital photograph with noise-free rendering, clean colors, quality enhancing post-processing.","a low-quality photograph with noise, compression artifacts, flat washed-out color, and soft blurry detail"
[ Film Stocks ],__film/styles/film-stocks__,
Film Photo [Warm & Organic],"The photo is in the style of 35mm color film photography: natural color rendition with a slight warm cast, fine organic grain, faint halation around bright highlights, slightly lifted blacks, and the character of a vintage prime lens with softer corners.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Analog Photo [Casual Snapshot],"The photo is in the style of a casual analog point-and-shoot snapshot: direct on-camera flash falloff, slightly tilted framing, mild vignetting, muted consumer-film colors, fine visible grain, and the unposed feel of a photograph from a family album.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Grainy Film Photo [Coarse & Documentary],"The photo is in the style of high-ISO film photography shot on pushed 1600-speed stock: coarse visible grain across the frame, slightly deepened shadows, muted midtones, lowered color saturation, and a documentary mood.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Expired Film [Shifted & Degraded],"The photo is in the style of expired color film: mild magenta and green color shifts, slightly faded contrast, faint chemical fogging in the shadows, uneven grain, an occasional soft light leak near the frame edge, and an aged nostalgic quality.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodachrome [Saturated & Mid-Century],"The photo is in the style of Kodachrome slide film: warm saturated reds and pleasing skin tones, dense blacks, fine grain, crisp micro-contrast, and a mid-century reportage character.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Portra 400 [Soft & Flattering],"The photo is in the style of Kodak Portra 400 film: warm natural skin tones, fine grain, gentle contrast with shadow and highlight detail retained, and an understated, flattering portrait look.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Ektar 100 [Vivid & Crisp],"The photo is in the style of Kodak Ektar 100 film: slightly elevated yet natural saturation with clean reds and blues, fine grain, crisp contrast, and a clean look suited to landscapes and travel photography.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
