name,prompt,negative_prompt
[ Quality ],,
DSLR Photo [Sharp & Shallow DOF],"Quality: sharp DSLR photo shot at a large aperture, shallow depth of field, out of focus background, accurate color, high dynamic range, and clean fine detail.",
High-Quality Photo [Clean & Detailed],"Quality: high-quality photo, crisp fine detail, accurate color, a full range of tones from shadows to highlights, and clean rendering.",
Digital Photo [Clean & Processed],"Quality: clean digital photo, noise-free rendering, clear colors, and light polishing.",
[ Film Stocks ],__film/styles/film-stocks__,
Film Photo [Warm & Organic],"Style and tones: 35mm color film, with a slight warm cast, faint highlight halation, slightly lifted blacks, and fine grain.",
Analog Photo [Casual Snapshot],"Style and tones: casual point-and-shoot color film, with muted colors, mild vignetting, and fine grain.",
Grainy Film Photo [Coarse & Documentary],"Style and tones: pushed high-ISO film, with muted colors, slightly deepened shadows, and notable grain.",
Expired Film [Shifted & Degraded],"Style and tones: expired color film, with mild magenta and green shifts, slightly faded contrast, faint shadow fogging, and uneven grain.",
Kodachrome [Saturated & Mid-Century],"Style and tones: Kodachrome, with slightly warm saturated reds, dense blacks, crisp micro-contrast, and fine grain.",
Kodachrome [Cool & Violet Haze],"Style and tones: Kodachrome, with slightly cool colors, a slight violet haze, and fine grain.",
Kodak Portra 400 [Soft & Flattering],"Style and tones: Kodak Portra 400, with warm natural skin tones, gentle contrast, retained shadow and highlight detail, and fine grain.",
Kodak Ektar 100 [Vivid & Crisp],"Style and tones: Kodak Ektar 100, with slightly elevated saturation in reds and blues, crisp contrast, and fine grain.",
Kodak Ektachrome E100 [Clean & Cool],"Style and tones: Kodak Ektachrome E100, with a slightly cool neutral palette, clean blues, moderate contrast, and fine grain.",
Kodak Gold 200 [Warm Amateur],"Style and tones: Kodak Gold 200, with a slight warm golden-yellow cast, gently raised saturation, soft contrast, and fine visible grain.",
Kodak Ultramax 400 [Punchy Amateur],"Style and tones: Kodak Ultramax 400, with slightly elevated warm saturation, and visible grain.",
Kodak Tri-X 400 [Gritty B&W],"Style and tones: Kodak Tri-X black-and-white, with firm contrast, deep blacks, bright highlights, and classic grain.",
Fujifilm Velvia 50 [Hyperreal Saturation],"Style and tones: Fujifilm Velvia 50, with gently elevated saturation in greens, reds and blues, slightly raised contrast, and fine grain.",
Fujifilm Provia 100F [Neutral & Precise],"Style and tones: Fujifilm Provia 100F, with faithful neutral color, balanced contrast, and fine grain.",
Fujifilm Superia 400 [Cool Amateur],"Style and tones: Fujifilm Superia 400, with a slightly cool palette, clean greens and blues, gentle contrast, and visible grain.",
Fujifilm Pro 400H [Pastel & Airy],"Style and tones: Fujifilm Pro 400H, with soft natural color, gentle contrast, retained highlight and shadow detail, a faint mint-green tint in the deepest shadows, and fine grain.","a washed-out, high-key, overexposed photograph with pale faded colors, blown-out highlights, or an overall green color cast covering the entire image"
Fujifilm Acros 100 [Smooth B&W],"Style and tones: Fujifilm Acros black-and-white, with smooth fine grain, silvery midtones, and deep but detailed shadows.",
Ilford HP5 Plus 400 [Classic B&W],"Style and tones: Ilford HP5 black-and-white, with smooth midtone gradation, moderate classic grain, and deep blacks that keep shadow detail.",
Ilford Delta 3200 [Moody Night B&W],"Style and tones: Ilford Delta 3200 black-and-white, with notable low-light grain, deep shadows, and raised contrast.",
CineStill 800T [Neon Halation],"Style and tones: CineStill 800T, with cool-leaning shadows, warm artificial lights, a faint red halation around bright light sources, and visible grain.",
Polaroid 600 [Dreamy Amateur],"Style and tones: full-frame borderless Polaroid 600, with gently lifted blacks, muted warm colors leaning to cream, and mild vignetting; the image fills the frame edge to edge.",a white Polaroid-style border or frame around the image
Polaroid SX-70 [Creamy & Vintage],"Style and tones: full-frame borderless Polaroid SX-70, with muted creamy tones, a slight pastel drift, and low contrast; the image fills the frame edge to edge.",a white Polaroid-style border or frame around the image
Fujifilm Instax [Bright & Cheerful],"Style and tones: full-frame borderless Fujifilm Instax, with bright slightly cool colors, soft contrast, and a slight highlight glow; the image fills the frame edge to edge.",a white Polaroid-style border or frame around the image
[ Soviet Film ],__film/styles/soviet-film__,
Svema Foto 64 [Everyday Soviet B&W],"Style and tones: Soviet Svema black-and-white, with a modest gray tonality, soft veiled contrast, grayish blacks, and visible grain.",
Svema FN64 [Smooth Fine-Grain B&W],"Style and tones: slow Soviet black-and-white, with smooth gentle contrast, soft midtone gradation, slightly pale skies, and fine grain.",
Tasma NK-2 [Gritty Reportage B&W],"Style and tones: fast Soviet reportage black-and-white, with notable grain, raised contrast, and murky shadow detail.",
Svema Color [Green-Leaning Muted],"Style and tones: Soviet Agfacolor-process color negative, with a muted green-cyan lean, desaturated reds, weak grayish blacks with faint fog, and ochre-tinted skin tones.",
Sovcolor Cinema [1970s Soviet Film Look],"Style and tones: 1970s Soviet color cinema, with muted color, a gentle green-teal shadow bias, warm ochre-olive midtones, a faint highlight haze, and weak faded blacks.",
Soviet Slide Film [Weak Blacks & Shifted],"Style and tones: Soviet color reversal slide, with thin gray-reading blacks, a faint green-to-magenta cast, modest saturation, and dull blues.",
Faded Color Print [Faded Colors],"Style and tones: gently faded Soviet color film, with muted but visible colors, slightly warm ochre midtones, a faint cool shadow shift, low contrast with soft milky blacks, and fine even grain; the image fills the frame edge to edge.","a white border, photo frame, or mounted print edge around the image"
